"","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","EFF","ELO","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","EFF_opp","ELO_opp"
"1",1,"2016-10-26","@","PHI","W",103,97,39,94,0.415,6,22,0.273,19,26,0.731,13,53,19,7,3,10,23,12.13,1859.25611847805,36,84,0.429,7,24,0.292,18,25,0.72,5,43,21,5,10,13,22,11.3636363636364,630.064197444188
"2",2,"2016-10-28","","PHO","W",113,110,40,96,0.417,5,21,0.238,28,38,0.737,14,57,13,11,3,22,24,12.9333333333333,1876.73261002581,42,94,0.447,5,28,0.179,21,32,0.656,7,44,15,11,3,15,29,13.4,1024.89466645594
"3",3,"2016-10-30","","LAL","W",113,96,45,95,0.474,9,26,0.346,14,17,0.824,10,45,29,15,6,19,22,13.75,1899.66453223456,35,87,0.402,7,32,0.219,19,24,0.792,11,41,20,15,2,21,18,11.7333333333333,686.061138022909
"4",4,"2016-11-02","@","LAC","W",85,83,34,84,0.405,5,20,0.25,12,20,0.6,10,52,14,8,4,21,24,12.6,1911.80044610442,34,87,0.391,7,22,0.318,8,18,0.444,8,41,22,13,5,17,19,14.5333333333333,2039.35677741049
"5",5,"2016-11-03","@","GSW","L",96,122,35,87,0.402,10,27,0.37,16,28,0.571,13,41,20,8,6,16,20,10.54,1911.80044610442,46,89,0.517,14,30,0.467,16,20,0.8,15,46,27,9,14,15,18,15.0666666666667,2674.11187175374
"6",6,"2016-11-05","","MIN","W",112,92,45,86,0.523,7,16,0.438,15,24,0.625,11,41,24,9,9,12,21,11.83,1928.01000271442,33,84,0.393,4,19,0.211,22,29,0.759,17,41,12,7,8,17,19,12.3,951.100360089298
"7",7,"2016-11-07","","MIA","W",97,85,37,85,0.435,9,28,0.321,14,17,0.824,10,47,24,8,5,16,18,11.83,1928.01000271442,31,84,0.369,4,17,0.235,19,22,0.864,12,41,12,8,7,12,16,13.5333333333333,1560.33174814015
"8",8,"2016-11-09","","TOR","L",102,112,31,74,0.419,12,34,0.353,28,31,0.903,11,39,18,6,5,19,21,12.6,1941.36292632163,43,83,0.518,11,26,0.423,15,22,0.682,7,35,25,10,6,11,24,11.5666666666667,1905.28737746469
"9",9,"2016-11-11","","LAC","L",108,110,38,88,0.432,16,28,0.571,16,19,0.842,9,45,21,3,1,16,27,12.4222222222222,1941.36292632163,39,86,0.453,11,27,0.407,21,35,0.6,11,45,18,9,3,10,20,14.2777777777778,2121.04739910956
"10",10,"2016-11-13","","ORL","L",117,119,47,92,0.511,7,25,0.28,16,26,0.615,12,42,22,4,6,10,19,11.83,1956.83899020311,46,86,0.535,11,24,0.458,16,20,0.8,8,38,24,4,7,9,20,13.875,1106.71821253235
